"Date","Total.Confirmed","Daily.Confirmed","Total.Recoveries","Daily.Recoveries","Total.Deaths","Daily.Deaths"
20-03-13,1,1,0,0,0,0
20-03-14,1,0,0,0,0,0
20-03-15,3,2,0,0,0,0
20-03-16,3,0,0,0,0,0
20-03-17,3,0,0,0,0,0
20-03-18,3,0,0,0,0,0
20-03-19,7,4,0,0,0,0
20-03-20,7,0,0,0,0,0
20-03-21,7,0,0,0,0,0
20-03-22,15,8,0,0,0,0
20-03-23,16,1,0,0,0,0
20-03-24,25,9,0,0,0,0
20-03-25,28,3,1,1,0,0
20-03-26,31,3,1,0,1,1
20-03-27,31,0,1,0,1,0
20-03-28,38,7,1,0,1,0
20-03-29,42,4,1,0,1,0
20-03-30,50,8,1,0,1,0
20-03-31,59,9,1,0,1,0
20-04-01,81,22,3,2,1,0
20-04-02,110,29,4,1,3,2
20-04-03,122,12,4,0,4,1
20-04-04,126,4,4,0,4,0
20-04-05,142,16,4,0,4,0
20-04-06,158,16,4,0,6,2
20-04-07,172,14,7,3,6,0
20-04-08,179,7,9,2,6,0
20-04-09,184,5,12,3,7,1
20-04-10,189,5,22,10,7,0
20-04-11,191,2,24,2,7,0
20-04-12,197,6,25,1,8,1
20-04-13,208,11,40,15,9,1
20-04-14,216,8,41,1,9,0
20-04-15,225,9,53,12,10,1
20-04-16,234,9,53,0,11,1
20-04-17,246,12,53,0,11,0
20-04-18,262,16,60,7,12,1
20-04-19,270,8,67,7,14,2
20-04-20,281,11,69,2,14,0
20-04-21,296,15,74,5,14,0
20-04-22,303,7,74,0,14,0
20-04-23,320,17,89,15,14,0
20-04-24,336,16,94,5,14,0
20-04-25,343,7,98,4,14,0
20-04-26,355,12,106,8,14,0
20-04-27,363,8,114,8,14,0
20-04-28,374,11,124,10,14,0
20-04-29,384,10,129,5,15,1
20-04-30,396,12,144,15,17,2
20-05-01,411,15,150,6,21,4
20-05-02,435,24,152,2,22,1
20-05-03,465,30,167,15,24,2
20-05-04,490,25,173,6,24,0
20-05-05,535,45,182,9,24,0
20-05-06,582,47,190,8,26,2
